SPC(1)	224.250401024
SPC(2)	156.187800768
SPC(3)	184.219100896
SPC(4)	152.15650064
SPC(5)	226.266051088
O2(6)	31.98982924
SPC(7)	268.31300128
SPC(8)	296.344301408
HO2J(43)	32.997654272
SPC(17)	223.242575992
C11H9J(66)	151.148675608
SPC(117)	255.232405232
SPC(120)	256.240230264
SPC(136)	183.138504848
SPC(137)	184.14632988
SPC(119)	222.23475096
H2O2(101)	34.005479304
SPC(218)	221.226925928
SPC(254)	253.216755168
SPC(268)	254.2245802
SPC(261)	253.216755168
SPC(271)	254.2245802
SPC(395)	253.216755168
SPC(439)	285.206584408
SPC(455)	286.21440944
SPC(171)	239.237490612
H2O(190)	18.010564684
SPC(173)	240.245315644
SPC(446)	285.206584408
SPC(458)	286.21440944
SPC(664)	285.206584408
HOJ(103)	17.002739652
SPC(695)	268.203844756
SPC(70)	225.258226056
SPC(850)	257.248055296
SPC(854)	258.255880328
SPC(74)	225.258226056
SPC(948)	257.248055296
SPC(953)	258.255880328
SPC(525)	285.206584408
SPC(1070)	268.203844756
SPC(1121)	301.201499028
SPC(75)	225.258226056
SPC(1212)	257.248055296
SPC(1216)	258.255880328
SPC(804)	267.196019724
SPC(1294)	250.193280072
SPC(71)	225.258226056
SPC(1412)	257.248055296
SPC(1416)	258.255880328
SPC(76)	225.258226056
SPC(1504)	257.248055296
SPC(1508)	258.255880328
SPC(1373)	249.18545504
SPC(1603)	281.17528428
SPC(1620)	282.183109312
SPC(73)	225.258226056
SPC(1752)	257.248055296
SPC(1756)	258.255880328
SPC(533)	285.206584408
SPC(72)	225.258226056
SPC(1876)	257.248055296
SPC(1879)	258.255880328
SPC(801)	267.196019724
SPC(1993)	250.193280072
SPC(2040)	283.190934344
SPC(1108)	267.196019724
SPC(52)	183.211275864
SPC(2176)	215.201105104
SPC(2243)	216.208930136
SPC(665)	285.206584408
SPC(669)	268.203844756
SPC(2481)	301.201499028
